gene_id,type,c1,c2,start,end
Gm23265,Normal,7,7,59726161,59726254
Gm22730,Normal,8,8,127046912,127047082
Gm23363,Normal,2,2,32318265,32318343
Gm22949,Normal,14,14,49573214,49573318
Gm24714,Normal,11,11,16645438,16645538
Gm24775,Normal,12,12,77393104,77393202
Gm22035,Normal,13,13,38898360,38898587
Gm22044,Normal,8,8,79014364,79014470
Mir3084-2,Normal,19,19,60774329,60774397
Gm23031,Normal,5,5,92302174,92302292
Mir671,Normal,5,5,24592114,24592211
Mir6909,Normal,10,10,79531029,79531090
Mir669p-2,Normal,2,2,10496497,10496583
Gm26259,Normal,13,13,5997455,5997551
Mir669l,Normal,2,2,10468971,10469068
Gm25879,Normal,2,2,181662306,181662412
Gm23587,Normal,16,16,88614527,88614610
n-R5s213,Normal,1,1,82635013,82635110
Gm24614,Normal,3,3,8429158,8429264
Gm22159,Normal,1,1,109623008,109623137
Gm23273,Normal,6,6,35975330,35975464
Gm23446,Normal,7,7,59766611,59766704
Gm22836,Normal,9,9,82439414,82439474
Gm24242,Normal,5,5,151700202,151700308
Gm22321,Normal,6,6,33088646,33088749
Mir804,Normal,11,11,50357785,50357879
Rnu7,Normal,6,6,124741225,124741286
Gm23437,Normal,14,14,106766030,106766156
Gm25272,Normal,14,14,123933718,123933845
Gm25817,Normal,7,7,32917146,32917266
Gm25528,Normal,9,9,87888456,87888587
Gm23738,Normal,4,4,68182532,68182702
Gm22034,Normal,1,1,102953415,102953548
Gm28019,Normal,8,8,72541480,72541580
Gm24415,Normal,15,15,90054409,90054515
Gm23411,Normal,18,18,34188878,34188939
Gm24253,Normal,11,11,56263165,56263240
Gm23564,Normal,11,11,84893087,84893153
Gm22713,Normal,3,3,123391114,123391243
Gm24103,Normal,8,8,111041948,111042024
Gm22573,Normal,4,4,155720040,155720141
Gm23079,Normal,6,6,123808105,123808221
Gm22544,Normal,8,8,76021929,76022055
Gm24718,Xtype,-1,X,96150837,96150972
Gm27541,Normal,10,10,78525989,78526110
n-R5s27,Normal,17,17,44641025,44641143
Mir433,Normal,12,12,109591715,109591838
Gm27342,Normal,13,13,32758202,32758310
Gm25651,Xtype,-1,X,169695781,169695899
Gm23992,Normal,9,9,4371269,4371335
Gm25606,Normal,9,9,64048496,64048590
Gm24200,Normal,9,9,94284496,94284652
Mir708,Normal,7,7,96249424,96249532
Gm24491,Xtype,-1,X,106649913,106650019
Mir692-3,Normal,13,13,74407065,74407173
Gm26922,Normal,12,12,109654627,109654698
Mir467a-3,Normal,2,2,10483678,10483760
Gm23288,Normal,2,2,10490167,10490287
Gm23250,Normal,4,4,46118180,46118446
Mir7035,Normal,5,5,136105522,136105603
Gm24267,Normal,1,1,107756602,107756708
Mir7061,Normal,7,7,130908268,130908335
Gm24019,Normal,10,10,79909195,79909301
Gm25771,Normal,1,1,122553173,122553316
Mir431,Normal,12,12,109590447,109590537
Gm26091,Normal,3,3,104601158,104601239
Rnu3a,Normal,10,10,40258467,40258679
Mir718,Xtype,-1,X,74023849,74023936
Gm27313,Normal,12,12,89298442,89298583
Gm26312,Xtype,-1,X,56725073,56725237
Gm25141,Normal,15,15,102627779,102627885
Gm25913,Normal,12,12,31858458,31858592
Gm25569,Normal,2,2,165270046,165270176
Gm23931,Normal,19,19,13604999,13605107
Gm24734,Normal,11,11,89136505,89136766
Gm23193,Normal,8,8,111194964,111195045
Mir186,Normal,3,3,157544279,157544349
Snord116l11,Normal,7,7,59902213,59902306
Gm25214,Normal,2,2,168882040,168882168
Gm23991,Normal,7,7,44250450,44250542
Gm25417,Normal,9,9,92527578,92527708
Mir218-2,Normal,11,11,35616816,35616925
Gm24384,Normal,18,18,63909082,63909156
Gm26475,Xtype,-1,X,128522689,128522809
Gm23753,Normal,2,2,126634539,126634687
Gm22205,Normal,12,12,109688055,109688125
Mir1964,Normal,7,7,29773294,29773376
Gm22783,Xtype,-1,X,19355001,19355107
Gm26060,Normal,2,2,10486946,10487068
Mir7067,Normal,8,8,70895508,70895570
Mir411,Normal,12,12,109710175,109710256
Gm24439,Normal,11,11,3474285,3474401
Gm23465,Normal,3,3,100738452,100738713
Rnu3b3,Normal,11,11,87448627,87448841
Gm27864,Normal,8,8,74270247,74270436
Gm22527,Normal,12,12,25687801,25687906
Snora23,Normal,7,7,110046364,110046547
Gm25090,Normal,2,2,159139361,159139492
Gm49799,Normal,17,17,28446861,28447148
Gm23618,Normal,7,7,59568964,59569042
Gm22258,Normal,7,7,59799444,59799537
Mir466b-5,Normal,2,2,10488887,10488974
Gm24535,Xtype,-1,X,21901732,21901838
Gm25267,Normal,8,8,82152720,82152782
Gm23256,Normal,7,7,42958351,42958460
Gm24943,Normal,4,4,51799920,51800352
Gm24239,Normal,8,8,120717500,120717754
Gm23787,Normal,12,12,109684962,109685034
Gm24567,Normal,4,4,15819909,15820029
Gm24756,Normal,11,11,59337051,59337146
Gm22067,Normal,15,15,81592093,81592199
Gm23442,Normal,17,17,35162563,35162696
Gm27595,Normal,11,11,107851745,107851856
Gm22642,Normal,3,3,89302478,89302729
Mirlet7c-2,Normal,15,15,85706603,85706697
Mir7094-2,Normal,12,12,114513635,114513694
Mir136,Normal,12,12,109595327,109595388
Gm22207,Normal,8,8,12356153,12356469
Gm25609,Normal,1,1,137215544,137215647
Gm22519,Normal,15,15,71794188,71794365
Mir488,Normal,1,1,158505625,158505733
Gm25434,Normal,6,6,139196065,139196231
Gm23859,Normal,18,18,90228899,90228962
Gm44327,Normal,3,3,136798262,136798378
Gm23053,Normal,6,6,35524543,35524638
Mir6940,Normal,12,12,112733322,112733391
Gm24437,Normal,16,16,36321481,36321584
Mir106b,Normal,5,5,138165737,138165818
Gm27399,Normal,11,11,98238618,98238695
Gm22503,Normal,10,10,44732353,44732467
Gm26378,Normal,18,18,32820693,32820799
Gm44297,Normal,13,13,23534114,23534254
Gm44381,Normal,11,11,24014655,24014759
Mir7219,Normal,18,18,68260920,68260973
Gm22956,Normal,5,5,138219737,138219816
Gm22697,Normal,18,18,42301890,42301952
Mir6988,Normal,19,19,6051334,6051392
Gm25729,Ytype,-1,Y,83675342,83675449
Gm22236,Normal,10,10,110904795,110904900
Gm26220,Normal,6,6,29396617,29396705
Gm23201,Normal,2,2,167064998,167065086
Gm23340,Normal,13,13,24316730,24316852
Gm23518,Normal,16,16,35387933,35388085
Gm26214,Normal,1,1,105945554,105945660
Gm27903,Normal,15,15,79594668,79594793
Gm23747,Normal,15,15,75759859,75759989
Gm26100,Normal,8,8,128771170,128771296
Gm24161,Normal,4,4,126818016,126818145
CAAA01098150.1,Special,-1,GL456372.1,13262,13382
Gm25656,Normal,6,6,103832513,103832578
Gm22175,Normal,12,12,113425150,113425227
Gm25014,Normal,8,8,13283115,13283217
Gm25161,Normal,6,6,46481709,46481840
Gm22180,Normal,4,4,136609806,136609864
Snord89,Normal,1,1,39548745,39548854
Gm24431,Normal,13,13,106990402,106990467
n-R5s96,Normal,8,8,47719246,47719369
Mir3070b,Normal,12,12,109588592,109588680
n-R5s200,Normal,2,2,84700748,84700860
Gm24132,Normal,8,8,96656129,96656219
Gm23040,Normal,7,7,98506954,98507116
Gm22218,Normal,14,14,56852830,56852888
Mir1934,Normal,11,11,69663043,69663125
Gm24456,Normal,3,3,123743297,123743403
Gm26365,Normal,7,7,59693220,59693313
Gm22717,Normal,9,9,90315910,90316080
Gm25019,Normal,6,6,133196640,133196749
CAAA01019125.1,Special,-1,GL456233.1,79697,79797
Gm27617,Normal,14,14,35569953,35570120
Gm25538,Normal,12,12,12700039,12700145
Gm23434,Normal,1,1,99017364,99017463
Gm24072,Normal,6,6,130320874,130320947
Gm23048,Normal,9,9,19437687,19437815
Gm24269,Normal,9,9,110925403,110925479
Gm22193,Normal,8,8,110842383,110842458
Gm27979,Xtype,-1,X,68676848,68676903
Gm27402,Normal,6,6,17907172,17907291
Gm25795,Xtype,-1,X,157299490,157299621
Gm23655,Normal,16,16,89451495,89451599
Gm25604,Normal,4,4,126860980,126861112
Gm22733,Normal,11,11,74936061,74936151
Mirlet7b,Normal,15,15,85707319,85707403
Gm22731,Normal,2,2,145352843,145352936
Gm23515,Normal,8,8,65667595,65667701
Gm23759,Normal,9,9,90031307,90031574
Mir6413,Normal,10,10,20297581,20297688
Mir30c-2,Normal,1,1,23291701,23291784
Gm25836,Normal,4,4,79244587,79244709
Mir7076,Normal,8,8,111689601,111689674
Mir688,Normal,15,15,102671792,102671866
Snora61,Normal,4,4,132310240,132310369
Gm24690,Normal,18,18,38356578,38356674
Gm23612,Normal,16,16,19319686,19319795
Gm23543,Normal,6,6,65864171,65864276
Gm22639,Normal,4,4,44865307,44865431
Gm24902,Normal,5,5,57110824,57110946
Mir7687,Normal,8,8,120538696,120538754
n-R5s179,Normal,5,5,148753323,148753440
Gm44375,Normal,13,13,69401248,69401397
Gm27792,Normal,13,13,96897276,96897390
Gm25097,Xtype,-1,X,145160477,145160621
Mir7015,Normal,4,4,120973259,120973322
Gm25934,Normal,7,7,59351409,59351487
Gm47297,Normal,11,11,120274487,120274624
Gm24316,Normal,14,14,50731053,50731159
Gm23448,Normal,1,1,63300280,63300383
Gm25299,Xtype,-1,X,23982185,23982286
n-R5s111,Normal,8,8,123557490,123557608
Gm26326,Normal,12,12,43743037,43743165
Gm23712,Normal,5,5,72418713,72418819
Gm22565,Normal,8,8,5705427,5705495
Gm26143,Normal,7,7,142424795,142424902
Snord23,Normal,7,7,15938762,15938870
Mir3470b,Normal,16,16,44013852,44013977
Gm44413,Normal,6,6,56172928,56173031
Gm27326,Normal,11,11,97780182,97780276
Gm26439,Normal,11,11,86437310,86437415
Mir6540,Normal,16,16,42303362,42303469
Gm26232,Normal,3,3,96450446,96450611
Gm26486,Normal,5,5,53418573,53418682
Gm27580,Normal,4,4,89445219,89445367
Gm22575,Normal,3,3,124410655,124410764
Mir7011,Normal,3,3,88440879,88440951
Gm24339,Normal,9,9,15326464,15326539
Gm23346,Normal,6,6,70855444,70855579
Gm27585,Normal,8,8,7521636,7521834
Gm26157,Normal,11,11,68053335,68053460
Gm25693,Normal,11,11,38037179,38037263
Gm24828,Ytype,-1,Y,85414018,85414125
Gm27521,Normal,4,4,96917020,96917083
Gm23622,Normal,14,14,75651423,75651529
Gm24713,Normal,15,15,18009263,18009369
Gm26466,Normal,7,7,59407197,59407275
Gm22812,Normal,7,7,59806995,59807088
Mir6974,Normal,17,17,35204475,35204557
Gm25878,Normal,2,2,167063473,167063565
Gm25074,Normal,7,7,59776724,59776817
Gm22392,Normal,15,15,44432595,44432701
Gm25081,Normal,2,2,38480338,38480445
Mir465b-2,Xtype,-1,X,66835764,66835842
Gm23251,Normal,7,7,75757259,75757368
Gm27543,Normal,6,6,52249299,52249475
Gm22498,Normal,14,14,56837071,56837156
Gm24457,Normal,3,3,142772972,142773076
Gm23497,Normal,1,1,118681821,118681950
Gm23065,Normal,11,11,11140514,11140643
Gm26126,Normal,9,9,84649496,84649659
Gm25442,Normal,3,3,35325614,35325705
Gm24944,Normal,9,9,107987369,107987496
Mir1933,Normal,11,11,21344588,21344675
Gm24173,Normal,1,1,11134111,11134238
Gm25829,Normal,1,1,54249102,54249208
Gm24406,Normal,3,3,144586825,144586952
Gm27511,Normal,11,11,60099547,60099673
Gm22165,Normal,3,3,64109635,64109737
Gm22615,Normal,13,13,62543434,62543503
Gm26352,Normal,1,1,43902928,43903052
Gm24145,Normal,16,16,11167105,11167267
Gm25780,Normal,6,6,140530963,140531215
Gm22486,Normal,6,6,71882557,71882693
Gm22051,Normal,2,2,10506555,10506681
Mir6968,Normal,17,17,26935472,26935539
Gm25455,Normal,2,2,24601365,24601689
Gm27396,Normal,1,1,3783876,3783933
Gm23504,Normal,1,1,87415255,87415349
Gm23845,Normal,4,4,129895573,129895724
Gm22967,Normal,17,17,69594539,69594777
DQ267100,Normal,12,12,109649617,109649688
Gm23690,Normal,1,1,181813607,181813700
Gm23554,Normal,6,6,124142185,124142294
Gm23000,Xtype,-1,X,66728415,66728553
Snora81,Normal,16,16,23110756,23110933
Gm26235,Normal,18,18,18099560,18099660
Gm25227,Normal,1,1,15685935,15686046
Gm28010,Normal,9,9,72511209,72511334
Gm25608,Normal,5,5,64002353,64002484
Mir185,Normal,16,16,18327401,18327465
n-R5s23,Normal,18,18,24686168,24686282
Gm26284,Normal,7,7,59589548,59589626
Gm25415,Normal,14,14,89706805,89706936
Gm24656,Normal,15,15,23154734,23154865
Mir344h-1,Normal,7,7,61739350,61739409
Mir133a-1,Normal,18,18,10782909,10782976
Gm24211,Normal,11,11,74728403,74728509
Gm27306,Normal,2,2,3075107,3075213
Gm26249,Normal,9,9,44897865,44897982
Gm23556,Xtype,-1,X,78908549,78908640
Gm23826,Normal,12,12,66561254,66561372
Gm26027,Normal,3,3,121337692,121337959
Mir762,Normal,7,7,127708487,127708562
Mir3074-2,Normal,8,8,84208825,84208907
Gm25262,Normal,4,4,43631425,43631557
Gm25471,Normal,7,7,59761554,59761647
Gm24262,Normal,9,9,35144636,35144779
Gm24136,Normal,3,3,96422733,96422897
Gm22817,Normal,4,4,21270075,21270430
Gm24708,Normal,7,7,16624575,16624677
Mir3075,Normal,14,14,25534439,25534523
Gm22063,Normal,8,8,105172496,105172602
Mirlet7a-2,Normal,9,9,41536716,41536811
Gm25772,Normal,4,4,137325559,137325614
Gm22177,Normal,7,7,84170565,84170722
Gm23802,Normal,2,2,152772788,152772889
Gm27898,Normal,11,11,96199751,96199830
Gm23899,Normal,14,14,66591606,66591695
Mir7031,Normal,5,5,121819209,121819273
Gm24459,Normal,8,8,124357238,124357323
Gm24894,Normal,18,18,10551289,10551406
Gm25877,Normal,4,4,103586272,103586400
Gm22925,Normal,2,2,10510791,10510892
Gm26421,Normal,2,2,111825179,111825310
Gm22208,Normal,15,15,34531714,34531823
1600017P15Rik,Normal,3,3,30595346,30595757
Mir466c-2,Normal,2,2,10483966,10484055
Gm24162,Normal,1,1,20444811,20444912
Gm24728,Normal,3,3,143674943,143675067
Gm25754,Normal,1,1,83795912,83796032
Gm25102,Normal,17,17,57747565,57747676
Gm25394,Normal,13,13,49684301,49684433
Gm23453,Normal,1,1,33422733,33422838
Gm27596,Normal,12,12,109541168,109541250
Gm23922,Normal,7,7,59370106,59370184
Gm23617,Normal,5,5,67631825,67631919
Gm23330,Normal,3,3,19560253,19560416
Mir6390,Normal,14,14,105623642,105623770
Mir1893,Normal,18,18,6490564,6490646
Gm23117,Normal,13,13,43872802,43872909
Gm25857,Normal,2,2,119740828,119740956
Gm22889,Normal,2,2,127677670,127677727
Gm23900,Normal,2,2,81543235,81543342
Gm23151,Normal,5,5,126389548,126389654
Gm25793,Xtype,-1,X,153576488,153576594
Gm23927,Normal,19,19,4078297,4078512
Gm26325,Normal,7,7,12930774,12930880
Mir741,Xtype,-1,X,66796805,66796875
Mir6537,Normal,7,7,25097066,25097175
Snord1b,Normal,11,11,116674148,116674222
n-R5s128,Normal,8,8,123586242,123586360
Gm25246,Xtype,-1,X,13653381,13653449
Gm24356,Normal,7,7,28123254,28123359
Gm23454,Xtype,-1,X,93251474,93251606
Gm44394,Normal,13,13,23570726,23570863
Snord15a,Normal,7,7,99482785,99482932
Gm22131,Normal,7,7,59681055,59681148
Gm24377,Normal,12,12,59665654,59665784
Gm23903,Normal,15,15,27061736,27061866
Mir483,Normal,7,7,142654924,142654996
Mir674,Normal,2,2,117185127,117185226
Mir6995,Normal,19,19,47273519,47273589
Gm27599,Normal,17,17,29059744,29059917
Gm24028,Normal,2,2,10496791,10496914
Gm26441,Xtype,-1,X,151261918,151262021
Gm26490,Normal,4,4,89182981,89183120
Gm23795,Normal,7,7,68952100,68952236
Gm25228,Normal,14,14,42614226,42614346
Gm22916,Normal,6,6,124095450,124095568
Gm24212,Normal,8,8,89667173,89667304
Gm24097,Normal,5,5,104936651,104936757
Gm22897,Normal,5,5,4985111,4985237
Gm25956,Normal,7,7,54213169,54213385
Gm23973,Normal,7,7,103271550,103271870
Gm25783,Normal,17,17,43698363,43698552
Gm23095,Normal,19,19,33954235,33954341
Mir6373,Normal,6,6,102794384,102794485
Gm25410,Normal,10,10,8824011,8824147
Mir124a-2,Normal,3,3,17795662,17795770
Gm24423,Normal,8,8,21548060,21548165
Gm25217,Normal,7,7,119969821,119969921
Gm22997,Normal,2,2,110218003,110218109
Gm25664,Normal,10,10,52905638,52905744
Gm26286,Normal,5,5,100831281,100831414
Gm24783,Xtype,-1,X,121914560,121914659
Gm28006,Normal,19,19,5844916,5845037
Mir465d,Xtype,-1,X,66822656,66822713
Gm22056,Normal,5,5,113928724,113928804
Gm25092,Normal,17,17,24023200,24023328
Mir713,Normal,13,13,62760739,62760846
Mir208b,Normal,14,14,54975700,54975776
Mir6905,Normal,10,10,24910664,24910733
Mir6934,Normal,11,11,119154076,119154137
Gm22331,Normal,1,1,112467911,112468046
Gm24396,Xtype,-1,X,61145362,61145454
Gm23921,Normal,7,7,25868945,25869051
Mir5616,Normal,4,4,149537863,149537922
Mir342,Normal,12,12,108658620,108658718
Gm23324,Normal,14,14,94448221,94448351
Gm25982,Normal,4,4,156023058,156023158
Mir5101,Normal,12,12,75909103,75909185
Gm26202,Normal,18,18,75001880,75001944
Gm26050,Normal,12,12,3699178,3699240
Gm25629,Xtype,-1,X,74997577,74997683
Gm27843,Xtype,-1,X,102013049,102013152
Gm22087,Normal,10,10,44597240,44597327
Gm24561,Normal,2,2,168178158,168178252
Gm23740,Normal,11,11,23063133,23063232
Gm25035,Normal,1,1,74586896,74586972
Gm22988,Normal,11,11,69669635,69669778
Gm27640,Normal,11,11,3647179,3647325
Gm23083,Normal,16,16,80137352,80137467
Gm25637,Normal,4,4,41050220,41050326
Gm25378,Normal,4,4,28365316,28365444
Mir546,Normal,10,10,126998440,126998560
Mir1966,Normal,8,8,105615466,105615573
Mir19a,Normal,14,14,115044000,115044081
Gm44308,Normal,10,10,61125137,61125235
Gm44409,Normal,18,18,10365908,10366073
Gm27901,Normal,7,7,143447605,143447665
Gm25588,Normal,1,1,153440079,153440218
Gm23225,Normal,14,14,91108179,91108292
Gm22345,Normal,4,4,108537491,108537597
Mir7012,Normal,3,3,90270149,90270212
Gm22640,Normal,7,7,59578319,59578397
Gm25179,Normal,16,16,35234796,35234923
Gm23112,Normal,3,3,14267315,14267439
Gm26040,Normal,3,3,27868113,27868273
Mir7233,Normal,6,6,127788084,127788143
Mir365-1,Normal,16,16,13453840,13453926
Mir181b-1,Normal,1,1,137966639,137966718
Gm22226,Normal,7,7,96919994,96920102
n-R5s136,Normal,8,8,123599861,123599979
Gm24078,Normal,4,4,22747131,22747233
Mir466p,Normal,2,2,10506006,10506094
Gm26303,Normal,9,9,115381960,115382078
Mir212,Normal,11,11,75173388,75173478
Gm24346,Normal,5,5,65777014,65777207
Mir466b-7,Normal,2,2,10496268,10496355
Gm24064,Normal,1,1,26566833,26566938
Gm44464,Normal,3,3,27026418,27026555
Gm25796,Normal,3,3,45817736,45817898
Gm26280,Normal,1,1,135150666,135150766
Mir5623,Normal,19,19,58051167,58051236
Gm25194,Normal,7,7,59576449,59576527
Gm22987,Normal,9,9,121242342,121242587
Gm26335,Normal,5,5,32175099,32175205
Gm22378,Normal,11,11,109499714,109499824
Gm23528,Normal,1,1,160645573,160645704
Gm24217,Normal,6,6,23639824,23639956
Gm25809,Normal,15,15,34288819,34288870
Gm23402,Normal,1,1,165809636,165809742
Gm22660,Normal,4,4,130857751,130857880
Gm23300,Normal,19,19,38071929,38072053
Gm27551,Normal,5,5,125479377,125479453
Gm25202,Xtype,-1,X,14315401,14315591
Gm26138,Normal,4,4,57877389,57877495
Gm24076,Normal,18,18,46473931,46474024
Gm23887,Normal,17,17,28989977,28990148
Gm24460,Xtype,-1,X,151539700,151539805
Gm26296,Normal,15,15,55262542,55262603
Gm22600,Normal,11,11,21197708,21197976
Gm24286,Normal,10,10,29395036,29395163
Gm24263,Normal,19,19,23296329,23296435
Gm23509,Normal,14,14,93138030,93138189
Gm24313,Normal,11,11,6619808,6619940
Gm22068,Normal,11,11,87426716,87426879
Gm44461,Normal,2,2,94537987,94538069
Gm23054,Normal,3,3,88862919,88863080
Mir652,Xtype,-1,X,142739000,142739097
Gm27861,Normal,6,6,52161042,52161255
Mir378c,Normal,14,14,46954830,46954928
Gm26188,Normal,7,7,59723644,59723737
Gm26479,Normal,10,10,62893409,62893514
Mir6376,Normal,6,6,88104128,88104258
Mir29a,Normal,6,6,31062660,31062747
Gm24416,Xtype,-1,X,135445519,135445632
Gm23370,Normal,1,1,127331812,127331941
Gm23326,Normal,9,9,43905898,43906002
Mir7080,Normal,8,8,123130106,123130172
Gm22334,Normal,2,2,155652892,155653024
Mir7652,Normal,11,11,55501226,55501281
Gm22438,Normal,1,1,107892974,107893105
Gm24877,Normal,11,11,94958778,94958893
Gm24630,Normal,5,5,150708044,150708149
Gm22055,Normal,4,4,45548743,45548849
Gm25969,Normal,5,5,99655701,99655832
Gm23912,Normal,12,12,109618114,109618200
Gm44454,Normal,13,13,21753445,21753582
Mir7240,Normal,8,8,70798135,70798192
Gm23658,Normal,19,19,24942236,24942367
Gm22080,Normal,7,7,91392584,91392689
Gm24936,Normal,6,6,99575891,99576137
Gm25943,Normal,2,2,10501109,10501198
Gm24509,Xtype,-1,X,102838155,102838255
Gm24048,Normal,3,3,135147408,135147513
n-R5s51,Normal,14,14,118826909,118827031
Gm24928,Normal,16,16,25702642,25702748
Gm24370,Normal,6,6,73392142,73392243
Gm25070,Normal,15,15,95879716,95879817
Gm25889,Normal,11,11,106764635,106764741
Gm22511,Normal,7,7,59471904,59471982
Gm27501,Normal,13,13,66586810,66586916
Gm24083,Normal,9,9,108568295,108568414
Gm22477,Normal,4,4,11928424,11928739
Gm23542,Normal,2,2,10511370,10511465
n-R5s159,Normal,7,7,132058641,132058760
Mir497b,Normal,11,11,70234692,70234816
Gm23601,Normal,10,10,10663154,10663284
Gm23394,Normal,12,12,55821063,55821153
Gm24199,Normal,2,2,151073655,151073790
Rprl2,Normal,3,3,22251374,22251663
Gm24398,Normal,11,11,23172798,23172906
Gm22155,Normal,6,6,6924118,6924279
Mir7005,Normal,2,2,180179755,180179823
Mir511,Normal,2,2,14261003,14261081
Gm24884,Normal,4,4,83078511,83078629
Mir34a,Normal,4,4,150068454,150068555
Gm24648,Normal,17,17,87053694,87053825
Gm22466,Normal,7,7,61708705,61708773
Gm22079,Normal,12,12,108862564,108862669
Gm23645,Normal,11,11,106260206,106260313
Gm25683,Normal,7,7,118153480,118153610
Mir377,Normal,12,12,109740510,109740577
Gm22223,Normal,8,8,101539584,101539708
Gm23102,Normal,17,17,94869873,94869988
Mir1971,Normal,14,14,78191373,78191478
4933412A08Rik,Normal,19,19,60226334,60227678
Gm22726,Normal,14,14,40318072,40318250
Gm23732,Normal,12,12,116173313,116173419
Gm26291,Normal,17,17,54651936,54652072
Gm26265,Normal,8,8,95756950,95757082
Gm22380,Normal,9,9,24351118,24351212
Gm26320,Normal,4,4,70412618,70412923
Gm22774,Normal,17,17,6131836,6131944
Gm25593,Normal,11,11,101353342,101353437
Gm22501,Normal,2,2,104228112,104228238
Mir682,Normal,13,13,75645046,75645141
Snord57,Normal,2,2,130278016,130278087
Mir6375,Normal,6,6,85790140,85790234
Gm25128,Normal,17,17,35247175,35247250
Gm23263,Normal,4,4,137184065,137184140
Gm22138,Normal,9,9,86703819,86703946
Gm23630,Normal,2,2,94184027,94184130
Mir5104,Normal,10,10,7836381,7836474
Snord78,Normal,1,1,161036984,161037049
Gm25529,Normal,9,9,39048558,39048649
Gm23222,Normal,5,5,100500143,100500218
Mir216b,Normal,11,11,28746191,28746276
Gm24916,Normal,14,14,31015148,31015226
